Frame,Downhill Transitions,Uphill Transitions,None
815,2037,0,7942
816,2088,0,7881
817,2008,0,7959
818,1969,0,7998
819,1966,0,8006
820,1961,0,8016
821,1921,0,8052
822,1936,0,8029
823,2019,0,7960
824,2001,0,7968
825,1939,0,8030
826,1988,0,7986
827,1961,0,8013
828,1890,0,8082
829,1955,0,8027
830,1878,0,8093
831,1883,0,8089
832,1949,0,8011
833,1954,0,8025
834,1940,0,8036
835,1916,0,8064
836,1947,0,8023
837,1924,0,8045
838,1965,0,7997
839,1911,0,8057
840,2001,0,7968
841,1949,0,8019
842,1880,0,8093
843,1987,0,7987
844,1875,0,8099
845,1898,0,8073
846,2001,0,7969
847,1932,0,8037
848,1931,0,8041
849,1892,0,8080
850,1935,0,8030
851,1953,0,8012
852,1917,0,8046
853,1887,0,8077
854,1964,0,8006
855,1911,0,8067
856,1859,0,8104
857,1940,0,8029
858,1882,0,8091
859,1964,0,8012
860,1857,0,8114
861,1961,0,8007
862,1973,0,8002
863,1905,0,8060
864,1866,0,8105
865,1951,0,8009
866,1937,0,8024
867,1947,0,8026
868,1915,0,8061
869,1967,0,8016
870,1897,0,8080
871,1872,0,8096
872,1871,0,8100
873,1902,0,8070
874,1938,0,8035
875,1944,0,8029
876,1950,0,8019
877,1922,0,8041
878,1920,0,8054
879,1886,0,8090
880,1931,0,8048
881,1863,0,8108
882,1946,0,8036
883,1937,0,8032
884,1947,0,8028
885,1943,0,8026
886,1924,0,8053
887,1929,0,8048
888,1996,0,7980
889,1947,0,8026
890,1951,0,8028
891,1959,0,8003
892,1890,0,8078
893,1945,0,8023
894,1941,0,8030
895,1987,0,7978
896,2005,0,7966
897,1903,0,8064
898,1934,0,8037
899,1958,0,8008
900,1843,0,8133
901,1898,0,8073
902,1960,0,8006
903,1921,0,8049
904,1956,0,8029
905,1990,0,7991
906,1878,0,8088
907,1916,0,8063
908,1873,0,8101
909,1925,0,8044
910,1939,0,8033
911,1923,0,8045
912,1939,0,8026
913,1939,0,8025
914,1916,0,8059
915,1942,0,8041
916,1897,0,8075
917,1971,0,8006
918,1906,0,8059
919,1948,0,8021
920,1920,0,8053
921,1920,0,8054
922,1965,0,8009
923,1950,0,8025
924,1868,0,8093
925,1898,0,8073
926,1905,0,8070
927,1884,0,8091
928,1951,0,8017
929,1863,0,8114
930,1910,0,8064
931,1875,0,8102
932,1870,0,8111
933,1927,0,8045
934,1878,0,8091
935,1901,0,8069
936,1904,0,8071
937,1875,0,8094
938,1947,0,8027
939,1849,0,8118
940,1928,0,8043
941,1896,0,8077
942,1940,0,8039
943,1942,0,8032
944,1909,0,8067
945,1904,0,8066
946,1866,0,8106
947,1912,0,8064
948,1815,0,8160
949,1874,0,8100
950,1865,0,8107
951,1853,0,8124
952,1927,0,8049
953,1824,0,8142
954,1942,0,8042
955,1853,0,8120
956,2002,0,7970
957,1929,0,8036
958,1834,0,8136
959,1957,0,8015
960,1921,0,8045
961,1932,0,8045
962,1920,0,8051
963,1950,0,8024
964,1891,0,8077
965,1903,0,8061
966,1978,0,7993
967,1912,0,8055
968,1967,0,7995
969,1851,0,8122
970,1912,0,8052
971,1892,0,8089
972,1892,0,8073
973,1851,0,8122
974,1889,0,8077
975,1949,0,8030
976,1890,0,8087
977,1926,0,8050
978,1902,0,8079
979,1924,0,8046
980,1966,0,8003
981,2045,0,7934
982,1931,0,8041
983,1908,0,8068
984,1859,0,8108
985,1951,0,8013
986,1915,0,8061
987,1905,0,8075
988,1848,0,8131
989,1888,0,8082
990,1896,0,8068
991,1930,0,8034
992,1926,0,8034
993,1854,0,8123
994,1869,0,8099
995,1878,0,8100
996,1876,0,8104
997,1935,0,8038
998,1954,0,8015
999,1865,0,8095
1000,1903,0,8067
